dataset,pair,virus,reference,n_differing_drivers,driver_positions_mature,distinct_blocks,n_replicate_rows,class
H3N2,A/Bilthoven/6022/1972 vs A/PortChalmers/1/1973,A/Bilthoven/6022/1972,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/6449/1971 vs A/PortChalmers/1/1973,A/Bilthoven/6449/1971,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/6545/1976 vs A/Victoria/3/1975,A/Bilthoven/6545/1976,A/Victoria/3/1975,1,193,1,2,clean-single-driver
H3N2,A/Bilthoven/7398/1974 vs A/England/42/1972,A/Bilthoven/7398/1974,A/England/42/1972,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/7398/1974 vs A/HongKong/1/1968,A/Bilthoven/7398/1974,A/HongKong/1/1968,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/748/1973 vs A/PortChalmers/1/1973,A/Bilthoven/748/1973,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/808/1969 vs A/England/42/1972,A/Bilthoven/808/1969,A/England/42/1972,1,278,1,1,clean-single-driver
H3N2,A/Bilthoven/808/1969 vs A/HongKong/1/1968,A/Bilthoven/808/1969,A/HongKong/1/1968,1,278,1,1,clean-single-driver
H3N2,A/Bilthoven/908/1969 vs A/PortChalmers/1/1973,A/Bilthoven/908/1969,A/PortChalmers/1/1973,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/9459/1974 vs A/England/42/1972,A/Bilthoven/9459/1974,A/England/42/1972,1,193,1,1,clean-single-driver
H3N2,A/Bilthoven/9459/1974 vs A/HongKong/1/1968,A/Bilthoven/9459/1974,A/HongKong/1/1968,1,193,1,1,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/Anhui/1238/2005,A/Brazil/1742/2005,A/Anhui/1238/2005,1,193,1,2,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/Anhui/1239/2005,A/Brazil/1742/2005,A/Anhui/1239/2005,1,193,1,4,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/California/20/2005,A/Brazil/1742/2005,A/California/20/2005,1,193,1,1,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/California/7/2004,A/Brazil/1742/2005,A/California/7/2004,1,193,1,5,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/Canada/1212/2006,A/Brazil/1742/2005,A/Canada/1212/2006,1,193,1,2,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/Hiroshima/52/2005,A/Brazil/1742/2005,A/Hiroshima/52/2005,1,193,1,6,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/Honduras/93/2005,A/Brazil/1742/2005,A/Honduras/93/2005,1,193,1,3,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/HongKong/218/2006,A/Brazil/1742/2005,A/HongKong/218/2006,1,193,1,2,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/HongKong/2831/2005,A/Brazil/1742/2005,A/HongKong/2831/2005,1,193,1,2,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/HongKong/4593/2004,A/Brazil/1742/2005,A/HongKong/4593/2004,1,193,1,1,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/NewHampshire/14/2004,A/Brazil/1742/2005,A/NewHampshire/14/2004,1,193,1,1,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/NorthCarolina/13/2005,A/Brazil/1742/2005,A/NorthCarolina/13/2005,1,193,1,1,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/Santiago/7981/2006,A/Brazil/1742/2005,A/Santiago/7981/2006,1,193,1,4,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/Ukraine/13/2006,A/Brazil/1742/2005,A/Ukraine/13/2006,1,193,1,2,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/Victoria/512/2005,A/Brazil/1742/2005,A/Victoria/512/2005,1,193,1,2,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/Wisconsin/67/2005,A/Brazil/1742/2005,A/Wisconsin/67/2005,1,193,1,12,clean-single-driver
H3N2,A/Brazil/1742/2005 vs A/Wisconsin/68/2005,A/Brazil/1742/2005,A/Wisconsin/68/2005,1,193,1,2,clean-single-driver
H3N2,A/Brisbane/10/2007 vs A/Brisbane/24/2008,A/Brisbane/10/2007,A/Brisbane/24/2008,1,190,1,2,clean-single-driver
H3N2,A/Brisbane/10/2007 vs A/Finland/9/2008,A/Brisbane/10/2007,A/Finland/9/2008,1,190,1,2,clean-single-driver
H3N2,A/Brisbane/10/2007 vs A/Henan/147/2007,A/Brisbane/10/2007,A/Henan/147/2007,1,190,1,1,clean-single-driver
H3N2,A/Brisbane/10/2007 vs A/Prague/3/2007,A/Brisbane/10/2007,A/Prague/3/2007,1,190,1,1,clean-single-driver
H3N2,A/Brisbane/10/2007 vs A/Trieste/25E/2007,A/Brisbane/10/2007,A/Trieste/25E/2007,1,190,1,1,clean-single-driver
H3N2,A/Brisbane/10/2007 vs A/Uruguay/716/2007,A/Brisbane/10/2007,A/Uruguay/716/2007,1,190,1,5,clean-single-driver
H3N2,A/Brisbane/10/2007 vs A/Wisconsin/3/2007,A/Brisbane/10/2007,A/Wisconsin/3/2007,1,190,1,3,clean-single-driver
H3N2,A/Brisbane/10/2007 vs A/Wisconsin/67/2005,A/Brisbane/10/2007,A/Wisconsin/67/2005,1,190,1,12,clean-single-driver
H3N2,A/Brisbane/24/2008 vs A/Brisbane/10/2007,A/Brisbane/24/2008,A/Brisbane/10/2007,1,190,1,2,clean-single-driver
H3N2,A/Brisbane/24/2008 vs A/England/394/2008,A/Brisbane/24/2008,A/England/394/2008,1,158,1,2,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Brisbane/9/2006,A/Brisbane/3/2005,A/Brisbane/9/2006,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Fujian/411/2002,A/Brisbane/3/2005,A/Fujian/411/2002,1,189,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Gunma/16/2005,A/Brisbane/3/2005,A/Gunma/16/2005,1,189,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/HongKong/4593/2004,A/Brisbane/3/2005,A/HongKong/4593/2004,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Macau/578/2005,A/Brisbane/3/2005,A/Macau/578/2005,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Malaysia/753/2005,A/Brisbane/3/2005,A/Malaysia/753/2005,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Mississippi/5/2004,A/Brisbane/3/2005,A/Mississippi/5/2004,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/NewHampshire/14/2004,A/Brisbane/3/2005,A/NewHampshire/14/2004,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/NewYork/55/2004,A/Brisbane/3/2005,A/NewYork/55/2004,1,193,1,2,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Okinawa/22/2005,A/Brisbane/3/2005,A/Okinawa/22/2005,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Philippines/825/2003,A/Brisbane/3/2005,A/Philippines/825/2003,1,189,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Singapore/37/2006,A/Brisbane/3/2005,A/Singapore/37/2006,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Tokyo/1035/2004,A/Brisbane/3/2005,A/Tokyo/1035/2004,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Victoria/503/2006,A/Brisbane/3/2005,A/Victoria/503/2006,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Victoria/512/2005,A/Brisbane/3/2005,A/Victoria/512/2005,1,193,1,2,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Wellington/1/2004,A/Brisbane/3/2005,A/Wellington/1/2004,1,193,1,2,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Wisconsin/67/2005,A/Brisbane/3/2005,A/Wisconsin/67/2005,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Wisconsin/67/2006,A/Brisbane/3/2005,A/Wisconsin/67/2006,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/3/2005 vs A/Wyoming/3/2003,A/Brisbane/3/2005,A/Wyoming/3/2003,1,189,1,2,clean-single-driver
H3N2,A/Brisbane/7/2003 vs A/ChristChurch/28/2003,A/Brisbane/7/2003,A/ChristChurch/28/2003,1,190,1,1,clean-single-driver
H3N2,A/Brisbane/8/1996 vs A/Guangdong/25/1993,A/Brisbane/8/1996,A/Guangdong/25/1993,1,278,1,1,clean-single-driver
H3N2,A/Brisbane/8/1996 vs A/Nanchang/933/1995,A/Brisbane/8/1996,A/Nanchang/933/1995,1,190,1,1,clean-single-driver
H3N2,A/Brisbane/8/1996 vs A/Netherlands/18/1994,A/Brisbane/8/1996,A/Netherlands/18/1994,1,278,1,1,clean-single-driver
H3N2,A/Brisbane/8/1996 vs A/Shandong/9/1993,A/Brisbane/8/1996,A/Shandong/9/1993,1,278,1,1,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/Brazil/1742/2005,A/Brisbane/9/2006,A/Brazil/1742/2005,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/Brisbane/10/2007,A/Brisbane/9/2006,A/Brisbane/10/2007,1,190,1,1,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/Brisbane/3/2005,A/Brisbane/9/2006,A/Brisbane/3/2005,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/California/7/2004,A/Brisbane/9/2006,A/California/7/2004,1,193,1,3,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/Kentucky/3/2006,A/Brisbane/9/2006,A/Kentucky/3/2006,1,157,1,2,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/Nepal/921/2006,A/Brisbane/9/2006,A/Nepal/921/2006,1,157,1,4,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/NewYork/55/2004,A/Brisbane/9/2006,A/NewYork/55/2004,1,193,1,3,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/Singapore/37/2004,A/Brisbane/9/2006,A/Singapore/37/2004,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/Ukraine/13/2006,A/Brisbane/9/2006,A/Ukraine/13/2006,1,193,1,2,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/Victoria/523/2004,A/Brisbane/9/2006,A/Victoria/523/2004,1,193,1,1,clean-single-driver
H3N2,A/Brisbane/9/2006 vs A/Wellington/1/2004,A/Brisbane/9/2006,A/Wellington/1/2004,1,193,1,1,clean-single-driver
H3N2,A/Caen/1/1984 vs A/Netherlands/450/1988,A/Caen/1/1984,A/Netherlands/450/1988,1,189,1,1,clean-single-driver
H3N2,A/Caen/1/1984 vs A/Philippines/2/1982,A/Caen/1/1984,A/Philippines/2/1982,1,11,1,1,clean-single-driver
H3N2,A/California/20/2005 vs A/Brazil/1742/2005,A/California/20/2005,A/Brazil/1742/2005,1,193,1,1,clean-single-driver
H3N2,A/California/20/2005 vs A/California/7/2004,A/California/20/2005,A/California/7/2004,1,193,1,2,clean-single-driver
H3N2,A/California/20/2005 vs A/NewYork/55/2004,A/California/20/2005,A/NewYork/55/2004,1,193,1,2,clean-single-driver
H3N2,A/California/7/2004 vs A/Anhui/1238/2005,A/California/7/2004,A/Anhui/1238/2005,1,193,1,3,clean-single-driver
H3N2,A/California/7/2004 vs A/Anhui/1239/2005,A/California/7/2004,A/Anhui/1239/2005,1,193,1,5,clean-single-driver
H3N2,A/California/7/2004 vs A/Aomori/43/2004,A/California/7/2004,A/Aomori/43/2004,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Bayern/4/2006,A/California/7/2004,A/Bayern/4/2006,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Brazil/1742/2005,A/California/7/2004,A/Brazil/1742/2005,1,193,1,2,clean-single-driver
H3N2,A/California/7/2004 vs A/Brisbane/4/2007,A/California/7/2004,A/Brisbane/4/2007,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Brisbane/9/2005,A/California/7/2004,A/Brisbane/9/2005,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Brisbane/9/2006,A/California/7/2004,A/Brisbane/9/2006,1,193,1,2,clean-single-driver
H3N2,A/California/7/2004 vs A/California/20/2005,A/California/7/2004,A/California/20/2005,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Canada/1212/2006,A/California/7/2004,A/Canada/1212/2006,1,193,1,2,clean-single-driver
H3N2,A/California/7/2004 vs A/Fujian/411/2002,A/California/7/2004,A/Fujian/411/2002,1,189,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Gunma/16/2005,A/California/7/2004,A/Gunma/16/2005,1,189,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Hiroshima/33/2006,A/California/7/2004,A/Hiroshima/33/2006,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Hiroshima/52/2005,A/California/7/2004,A/Hiroshima/52/2005,1,193,1,9,clean-single-driver
H3N2,A/California/7/2004 vs A/Honduras/93/2005,A/California/7/2004,A/Honduras/93/2005,1,193,1,3,clean-single-driver
H3N2,A/California/7/2004 vs A/HongKong/218/2006,A/California/7/2004,A/HongKong/218/2006,1,193,1,2,clean-single-driver
H3N2,A/California/7/2004 vs A/HongKong/2831/2005,A/California/7/2004,A/HongKong/2831/2005,1,193,1,3,clean-single-driver
H3N2,A/California/7/2004 vs A/HongKong/2874/2004,A/California/7/2004,A/HongKong/2874/2004,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/HongKong/4583/2004,A/California/7/2004,A/HongKong/4583/2004,1,193,1,2,clean-single-driver
H3N2,A/California/7/2004 vs A/HongKong/4593/2004,A/California/7/2004,A/HongKong/4593/2004,1,193,1,2,clean-single-driver
H3N2,A/California/7/2004 vs A/Lyon/636/2006,A/California/7/2004,A/Lyon/636/2006,1,278,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Macau/578/2005,A/California/7/2004,A/Macau/578/2005,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Malaysia/753/2005,A/California/7/2004,A/Malaysia/753/2005,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Mississippi/5/2004,A/California/7/2004,A/Mississippi/5/2004,1,193,1,3,clean-single-driver
H3N2,A/California/7/2004 vs A/Nagasaki/52/2003,A/California/7/2004,A/Nagasaki/52/2003,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Nepal/921-And-063-Pool/2006,A/California/7/2004,A/Nepal/921-And-063-Pool/2006,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/NewHampshire/14/2004,A/California/7/2004,A/NewHampshire/14/2004,1,193,1,2,clean-single-driver
H3N2,A/California/7/2004 vs A/NewYork/40/2004,A/California/7/2004,A/NewYork/40/2004,1,193,1,2,clean-single-driver
H3N2,A/California/7/2004 vs A/NewYork/55/2004,A/California/7/2004,A/NewYork/55/2004,1,193,1,17,clean-single-driver
H3N2,A/California/7/2004 vs A/NorthCarolina/13/2005,A/California/7/2004,A/NorthCarolina/13/2005,1,193,1,2,clean-single-driver
H3N2,A/California/7/2004 vs A/Okinawa/22/2005,A/California/7/2004,A/Okinawa/22/2005,1,193,1,1,clean-single-driver
H3N2,A/California/7/2004 vs A/Panama/2007/1999,A/California/7/2004,A/Panama/2007/1999,1,189,1,1,clean-single-driver
